"My Cart %1 %2 items","Meu Carrinho %1 %2 Itens"
"or","Ou"
"Sign In","Entrar"
"Search entire store here...","Digite aqui o que você procura"
"Sign Out","Sair"
"Create an Account","Criar Uma Conta"
"Get %1 off your first order. Use the coupon %2","Ganhe %1 De Desconto No Seu Primeiro Pedido. Use O Cupom %2"
"Add to Cart","Comprar"
"Sort By","Ordenar Por"
"Position","Posição"
"Price","Preço"
"Product Name","Nome De Produto"
"Show","Mostrar"
"per page","Por Página"
"Category","Categoria"
"Price","Preço"
"Color","Cor"
"Material","Material"
"Size","Tamanho"
"Eco Collection","Coleção Eco"
"Performance Fabric","Tecido De Alta Performance"
"Erin Recommends","Recomendado Por Erin"
"New","Novidades"
"Sale","Promoção"
"Style","Estilo"
"Pattern","Estampa"
"Climate","Clima"
"Enter your name","Digite Seu Nome"
"Enter your email address","Digite Seu Endereço De E-mail"
"i agree with the privacy policy","Eu Concordo Com A Política De Privacidade"
"register","Cadastrar"
"Shopping Options","Filtros"
"Search results for:","Resultado De Busca Por "
"Relevance","Relevância"
"Shop By","Filtrar Por"
"Search results for: '%1'","Resultado de busca por “%1”"
